Product_ID,Product_Name,Price,Description,Customer_ID,Customer_Name,Email,Phone,Order_ID,Quantity,Order_Status,Inventory_Level,Last_Updated
1047.0,Julie,15.77,Often pick international middle film they property season store which kitchen great.,,,,,,,,,
1022.0,Austin,26.01,Institution also somebody shake present offer.,,,,,,,,,
1040.0,Scott,95.71,Someone suggest peace appear top key green seem order themselves hair shoulder.,,,,,,,,,
1029.0,David,77.23,She garden good feeling recent point do natural professor message agent set officer.,,,,,,,,,
1014.0,Nancy,44.57,Whom or election hotel financial return professor get worry lose maybe take.,,,,,,,,,
1015.0,Danielle,86.33,Seem name total even order fund by lead prepare kitchen herself method television.,,,,,,,,,
1041.0,Stacy,63.69,Majority they structure culture none hold shoulder return onto even shake response.,,,,,,,,,
1012.0,Leah,35.07,International name side matter sing probably fish across.,,,,,,,,,
1014.0,Matthew,23.44,Mr evening know tough training training.,,,,,,,,,
1044.0,Justin,24.08,Enter ability send hot treat eye total meeting safe.,,,,,,,,,
1050.0,Patricia,10.34,Chance first bank have cover kind half.,,,,,,,,,
1009.0,Chelsea,79.24,Somebody history argue health sense debate song.,,,,,,,,,
1022.0,Kara,33.93,Street leave campaign along admit prepare through end budget between left.,,,,,,,,,
1032.0,Timothy,60.99,Serious successful seven expect pressure half act agent thought executive stuff.,,,,,,,,,
1001.0,Eric,45.73,Character since choice strong right home toward age sea fish produce.,,,,,,,,,
1042.0,Amy,58.9,Program institution serious government development always although speak cost institution education.,,,,,,,,,
1042.0,Kimberly,22.96,Fire certainly operation school night amount view.,,,,,,,,,
1042.0,Summer,68.59,Paper man study summer involve tell between institution ask.,,,,,,,,,
1002.0,Rachael,73.68,Occur maintain close ten choose blood a political sign serve.,,,,,,,,,
1030.0,Tracy,39.98,Control bit total similar try already treatment to name specific.,,,,,,,,,
1007.0,George,11.71,Hit down there should section son.,,,,,,,,,
1015.0,Ryan,60.03,Question account would big keep protect manage buy paper bad region.,,,,,,,,,
1024.0,Brian,38.3,Whom magazine green raise player best summer body would floor.,,,,,,,,,
1043.0,Pamela,66.02,Add simply everybody federal woman time for surface turn.,,,,,,,,,
1018.0,Samantha,15.21,Woman whose financial identify form worry pay.,,,,,,,,,
1019.0,Jason,48.21,Deep spring popular assume president so region show real.,,,,,,,,,
1040.0,Angela,55.14,Program on old air key effect themselves hit reach history can truth be soldier.,,,,,,,,,
1028.0,Calvin,27.93,Despite government them last head fill minute their live.,,,,,,,,,
,,,,2042.0,Christine Williams,,,,,,,
,,,,2036.0,Tom Mcintyre,,,,,,,
,,,,2037.0,Russell Diaz,,,,,,,
,,,,2030.0,Jonathan May,,,,,,,
,,,,2030.0,Frank Jackson,,,,,,,
,,,,2023.0,Tracey Carpenter,,,,,,,
,,,,2042.0,Mr. Cameron Smith,,,,,,,
,,,,2027.0,William Smith,,,,,,,
,,,,2042.0,Megan Cummings,,,,,,,
,,,,2029.0,Mark Espinoza,,,,,,,
,,,,2040.0,Justin Obrien,,,,,,,
,,,,2014.0,Cheryl Austin,,,,,,,
,,,,2043.0,Leah Bond,,,,,,,
,,,,2026.0,Marco Lewis,,,,,,,
,,,,2049.0,Blake Hernandez,,,,,,,
,,,,2050.0,Gregory Rogers,,,,,,,
,,,,2018.0,Jackie Smith,,,,,,,
,,,,2013.0,Bryan Foley,,,,,,,
,,,,2036.0,Jared Long,,,,,,,
,,,,2046.0,Daniel Lowe,,,,,,,
,,,,2043.0,Alexandria Phillips,,,,,,,
,,,,2008.0,Ashley Yoder,,,,,,,
,,,,2031.0,William Poole,,,,,,,
,,,,2024.0,Raymond Brooks,,,,,,,
,,,,2006.0,Brooke Nelson,,,,,,,
,,,,2006.0,Emily Hall,,,,,,,
,,,,2018.0,Richard Rich,,,,,,,
,,,,2047.0,Christopher Sanders Jr.,,,,,,,
,,,,2008.0,Scott Cruz,,,,,,,
,,,,2048.0,Jennifer Hart,,,,,,,
1044.0,,,,,,,,3028.0,2.0,Shipped,,
1032.0,,,,,,,,3043.0,5.0,Processing,,
1009.0,,,,,,,,3013.0,2.0,Processing,,
1031.0,,,,,,,,3014.0,4.0,Processing,,
1035.0,,,,,,,,3004.0,3.0,Shipped,,
1045.0,,,,,,,,3023.0,2.0,Processing,,
1034.0,,,,,,,,3020.0,5.0,Processing,,
1021.0,,,,,,,,3008.0,4.0,Processing,,
1040.0,,,,,,,,3046.0,6.0,Shipped,,
1041.0,,,,,,,,3047.0,9.0,Processing,,
1019.0,,,,,,,,3040.0,9.0,Processing,,
1050.0,,,,,,,,3050.0,6.0,Processing,,
1010.0,,,,,,,,3004.0,3.0,Shipped,,
1004.0,,,,,,,,3035.0,5.0,Processing,,
1025.0,,,,,,,,3011.0,8.0,Processing,,
1028.0,,,,,,,,3018.0,1.0,Processing,,
1014.0,,,,,,,,3003.0,1.0,Processing,,
1035.0,,,,,,,,3049.0,9.0,Processing,,
1031.0,,,,,,,,3024.0,7.0,Shipped,,
1011.0,,,,,,,,3001.0,9.0,Processing,,
1013.0,,,,,,,,,,,45.0,2023-10-29
1002.0,,,,,,,,,,,33.0,2023-10-25
1037.0,,,,,,,,,,,4.0,2023-10-25
1026.0,,,,,,,,,,,38.0,2023-10-29
1021.0,,,,,,,,,,,15.0,2023-10-29
1027.0,,,,,,,,,,,32.0,2023-10-29
1013.0,,,,,,,,,,,24.0,2023-10-25
1010.0,,,,,,,,,,,39.0,2023-10-29
1006.0,,,,,,,,,,,16.0,2023-10-25
1007.0,,,,,,,,,,,15.0,2023-10-25
