Customer_ID,Customer_Name,Email,Signup_Date,Last_Purchase_Date,Total_Purchases,Total_Spent,Last_Login_Date
1008,Ronald Edwards,jesse12@example.org,2023-02-22,2022-11-10,2,377.36,2023-10-28
1081,Kathleen Raymond,chelseawright@example.org,2023-05-23,2023-02-03,3,262.47,2023-10-17
1058,Christine Butler,jjohnson@example.com,2023-05-22,2023-04-08,2,293.08,2023-10-07
1091,Jordan Nelson,timothy90@example.net,2023-02-05,2023-07-22,7,322.37,2023-10-11
1072,Dillon Boyd,hernandezamy@example.com,2023-08-13,2023-07-03,9,368.9,2023-10-06
1010,Jeffrey Martin,carrillokyle@example.com,2022-11-18,2023-06-28,2,242.22,2023-10-22
1054,Terri Lucas,thomasfitzgerald@example.net,2022-12-24,2023-10-20,8,224.16,2023-10-30
1041,Andrew Wong,wsimmons@example.net,2023-07-31,2023-08-13,1,407.34,2023-10-22
1080,Steven Wilkins,xcampbell@example.com,2023-09-15,2023-05-23,6,309.11,2023-10-16
1034,William Downs,anthony51@example.com,2023-10-28,2023-05-27,7,486.3,2023-10-08
1086,Bradley Long,brandon71@example.com,2023-10-29,2022-11-27,6,499.53,2023-10-23
1054,Douglas Sanford,calvin90@example.com,2023-08-10,2023-04-17,5,424.94,2023-10-29
1098,Katrina Johnson DVM,dsanchez@example.net,2023-03-27,2023-01-05,1,280.79,2023-10-12
1037,Angel Lamb,whitneyevans@example.com,2023-09-10,2023-09-07,2,66.31,2023-10-20
1008,Oscar Martinez,qstrong@example.net,2023-07-09,2023-06-15,2,302.52,2023-10-10
1082,Mr. Shawn Valdez,greencassidy@example.com,2023-07-29,2023-04-02,6,201.53,2023-10-29
1009,Gabriel Stuart,whitetony@example.org,2023-07-15,2023-01-11,8,376.89,2023-10-05
1027,Jennifer Smith,bgarrett@example.org,2023-05-25,2023-10-13,6,450.67,2023-10-11
1087,Julie Davis,reyeskristin@example.net,2022-11-02,2023-04-29,1,343.72,2023-10-21
1021,Ethan Barber,uwallace@example.org,2023-10-01,2023-01-05,1,20.88,2023-10-12
1039,Lori Miller,kevinschaefer@example.net,2022-11-08,2023-10-25,3,34.24,2023-10-24
1076,Justin Mitchell,patricktaylor@example.net,2023-10-21,2023-07-23,3,31.42,2023-10-05
1071,Kimberly Miller,andrew73@example.net,2023-03-27,2023-05-14,3,228.88,2023-10-28
1011,Elizabeth Maldonado,stephenpittman@example.org,2023-01-17,2022-12-18,2,375.5,2023-10-18
1081,Kenneth Nguyen,tsimon@example.net,2023-01-24,2023-06-22,6,41.0,2023-10-14
1088,Jason Meza,robertsshelby@example.com,2023-03-02,2023-07-04,8,394.57,2023-10-27
1008,Jose Charles,bbooth@example.com,2023-10-24,2023-09-11,2,21.53,2023-10-06
1096,Stanley Myers,james80@example.com,2023-04-24,2022-12-20,9,249.47,2023-10-03
1037,Michael Paul,vparker@example.net,2023-08-26,2023-03-24,1,240.09,2023-10-08
1033,Angel Hamilton,ualexander@example.org,2023-03-08,2023-05-26,4,231.99,2023-10-23
1078,Nancy Cox,garrettrichard@example.com,2022-12-06,2023-01-31,2,81.36,2023-10-24
1071,Catherine Conley,crodriguez@example.com,2023-03-09,2023-06-26,4,64.55,2023-10-24
1060,Isabel Guerrero,whitecynthia@example.org,2023-04-15,2022-12-24,3,263.69,2023-10-07
1069,Anthony Mitchell,jose77@example.org,2023-07-06,2023-03-19,2,48.81,2023-10-25
1045,Thomas Riley,hray@example.com,2023-02-06,2023-08-26,6,454.47,2023-10-20
1043,Jennifer Murphy,rodney05@example.org,2023-05-19,2023-08-02,2,298.53,2023-10-08
1068,Christopher Webb,jenniferjohnston@example.com,2022-11-16,2023-01-13,2,395.35,2023-10-20
1086,Kevin Sutton,katherine60@example.org,2023-02-06,2023-08-16,5,158.44,2023-10-06
1057,Daniel Munoz,fstevens@example.org,2023-04-05,2023-04-30,6,223.69,2023-10-05
1059,Emily Lane,lindseythomas@example.net,2023-10-22,2023-04-12,2,467.36,2023-10-26
1090,Amber Orr,jzimmerman@example.org,2023-05-01,2022-12-06,6,158.11,2023-10-12
1013,Michael Johnson,francostephanie@example.net,2023-07-08,2023-09-21,4,138.93,2023-10-01
1005,Rachel Phillips,douglas91@example.org,2023-07-07,2023-03-12,10,73.68,2023-10-14
1013,Elizabeth Leonard,mackjason@example.net,2023-07-12,2022-11-26,9,342.16,2023-10-08
1063,Mr. John Wagner,jenniferescobar@example.com,2023-02-13,2023-04-28,6,359.94,2023-10-22
1050,Amber Nguyen,williamsryan@example.net,2023-10-23,2023-09-12,6,402.27,2023-10-16
1002,Glenn Duke,norrisrick@example.org,2023-04-22,2023-04-24,2,54.37,2023-10-22
1077,Samuel Horton,eatonstephanie@example.com,2022-12-11,2023-05-20,1,466.61,2023-10-19
1030,Kelly Montgomery,melissajones@example.org,2023-03-30,2023-03-12,1,335.53,2023-10-26
1045,Mackenzie Larson,htorres@example.com,2023-02-14,2023-09-20,3,297.31,2023-10-27
1083,Kyle Bass,shannonmccoy@example.com,2023-08-26,2023-04-06,8,462.26,2023-10-19
1008,Alan Simon,shawjamie@example.net,2022-11-06,2022-12-27,6,322.94,2023-10-16
1005,Ashley Murphy,hernandezpatricia@example.com,2023-04-30,2023-01-30,4,435.26,2023-10-29
1086,John Hawkins,dramsey@example.com,2022-12-31,2022-11-02,9,239.02,2023-10-20
1011,Bradley Patton,brian43@example.org,2023-08-05,2022-12-12,7,428.07,2023-10-21
1076,Vincent Hill,boyercarrie@example.net,2023-06-21,2023-10-09,10,89.88,2023-10-08
1035,Krista Grant,awhite@example.net,2023-10-06,2022-12-06,8,368.78,2023-10-17
1014,Rebecca Carter,moniquesilva@example.org,2023-04-16,2022-12-05,10,383.9,2023-10-15
1047,Anthony Ball,normananthony@example.com,2023-07-28,2023-04-14,4,366.22,2023-10-05
1096,Dustin Santiago,claytonsarah@example.net,2022-11-16,2022-12-28,10,350.52,2023-10-06
1041,Christopher Ramirez,patricia32@example.net,2023-02-18,2023-05-25,6,116.76,2023-10-11
1050,Nicole George,ocastro@example.net,2023-09-12,2023-06-26,8,256.67,2023-10-30
1032,Elizabeth Hardin,kimberly72@example.net,2023-02-27,2023-09-06,4,342.15,2023-10-14
1090,Stephanie Patton,maureen72@example.net,2023-01-28,2023-09-01,9,422.12,2023-10-29
