Transaction_ID,Customer_Name,Customer_Email,Card_Number,Transaction_Amount,Payment_Status
7e1af398-4511-4db2-ba49-7c1879e4b4b5,Bryan,tina53@example.org,**** **** **** 6437,419.57,Pending
c29ff168-31ce-4183-8971-8d0f8561162a,Jennifer,richard30@example.net,**** **** **** 9143,477.89,Pending
f8634ae5-2729-47c0-b46d-3e9ababafdd5,Lisa,lthomas@example.com,**** **** **** 3949,350.78,Approved
46afc282-03fc-4213-8263-b5c03074167c,Angela,abigailmcgee@example.net,**** **** **** 1343,368.16,Approved
6b34de92-c68d-4a8f-ad02-a1cf661cf755,James,lmccall@example.com,**** **** **** 8165,200.5,Pending
a0abc526-6318-4e00-a90c-bcecd4acd078,David,davidmyers@example.net,**** **** **** 8762,422.69,Pending
33fae362-1625-45cb-8786-42674402fdee,Sally,susan48@example.org,**** **** **** 4976,44.46,Pending
27b5246d-55ae-47f7-a50f-db1f14d0135c,Michele,qcoleman@example.com,**** **** **** 9486,138.75,Declined
32547f3f-1b27-4c6a-9f59-72d1aea8d4f7,Amber,heatheradams@example.net,**** **** **** 1289,358.82,Approved
d0c50458-c801-4eba-973f-d98bddaa5fd2,Mark,wdaugherty@example.net,**** **** **** 2268,465.03,Pending
982caa9d-a870-426c-9b1d-54111522b06a,Chelsea,aaron83@example.org,**** **** **** 4338,144.5,Pending
88434c49-d6e8-46b3-88b4-f9ae9f202dde,Stephen,williamslisa@example.org,**** **** **** 7361,165.16,Approved
3b9515b2-fb8b-4dbf-be92-6efe6c19977f,Adam,angelamartinez@example.com,**** **** **** 8073,169.38,Declined
b0097471-f6e6-4471-9efe-53dbc3505270,Lori,robertbeasley@example.org,**** **** **** 5247,113.55,Pending
a776531f-5c89-44d6-a164-40fbfb5b0f04,Susan,tina44@example.org,**** **** **** 9646,67.69,Pending
599802fc-8a29-4fe6-915b-b396f07cda7b,Kristin,palexander@example.com,**** **** **** 6393,105.91,Pending
c89a7a04-1e8c-47a1-8ec3-c619c9e3f210,Sheila,melissa84@example.net,**** **** **** 9694,77.8,Approved
b24bf796-025d-467a-a569-d2a8160a16d3,Scott,sarah33@example.net,**** **** **** 9723,278.22,Pending
f34bedef-91c5-45fc-8971-da4767cb0987,Angela,hamptonyolanda@example.com,**** **** **** 2379,383.77,Approved
da6c9661-c4ea-46c9-9639-06e563d92b4d,Christopher,susan73@example.com,**** **** **** 3660,374.73,Declined
6002828d-966a-4cc2-9745-fc3d507a3dd4,Natalie,connieriddle@example.com,**** **** **** 7395,384.67,Approved
f5510bdd-4442-4ffb-af17-da4c3819412e,Angela,david28@example.com,**** **** **** 3919,276.3,Pending
2ab6bb9c-5c6e-490b-9f28-d8be5d5c12aa,Chelsea,davisjeanette@example.org,**** **** **** 2411,433.27,Approved
0fa07067-6b62-4041-a117-4cb8e19207b1,Pamela,bsmith@example.org,**** **** **** 7796,373.42,Approved
321d3d7f-f7fc-4a59-b061-c9154479d023,Manuel,edward36@example.com,**** **** **** 5513,382.82,Approved
8424b00d-6159-4061-aec0-030f075b073b,Andre,ana63@example.net,**** **** **** 7313,131.1,Pending
694b3aa9-086e-4964-b16b-1c83184f6b54,Sarah,chaneycarlos@example.net,**** **** **** 9048,220.54,Pending
4ddafa5b-1212-45c8-a571-3bfe3991d841,Kristy,kenneth52@example.net,**** **** **** 3995,286.04,Pending
6fb6b3bd-2259-495e-b283-7d4982edae4b,Douglas,staceyhaney@example.org,**** **** **** 7147,274.05,Approved
b3046d49-640b-4442-9dea-b14a3f2f4354,David,alexander14@example.org,**** **** **** 8093,416.63,Pending
d149961e-c79d-4ffa-bafe-03fa687b5dbb,Desiree,ortizkevin@example.com,**** **** **** 4600,454.27,Approved
29d76756-58aa-4471-97c6-0ba60459b6ec,Kelly,proctorjoseph@example.net,**** **** **** 6215,319.09,Declined
ccd2d90f-2fbd-4149-82b8-cfc7d8cfef8e,Melissa,stefanienguyen@example.net,**** **** **** 3871,26.25,Approved
cd8ef6be-a700-493a-8e42-5ad0b48193ce,Christine,davidsonrobin@example.com,**** **** **** 9254,23.54,Approved
f83f01bc-830c-497f-ae7f-924defd45988,Patricia,danielslaurie@example.org,**** **** **** 4777,371.35,Declined
807f8ef4-a023-4d08-9b97-ae4d3da7a107,Dennis,jennifer52@example.net,**** **** **** 7533,454.25,Declined
bd1198fe-71a5-40ea-9690-e4be39c90266,Christine,djefferson@example.org,**** **** **** 9441,237.68,Pending
5124bd88-0d41-4823-a481-dafa00b5df75,Sarah,sandywaters@example.com,**** **** **** 8881,141.06,Approved
92a69428-3f1d-4355-a5fb-610378fc043e,Chelsea,jonathanacosta@example.net,**** **** **** 3623,122.57,Approved
39af7980-de01-49d0-b560-8568a5815603,Linda,parkerjodi@example.com,**** **** **** 1171,25.14,Pending
2612754b-380c-49e1-941d-e78e64579d3a,Donald,scott31@example.com,**** **** **** 3587,473.08,Pending
69c791c9-0cad-460e-aa55-fbb2af568e35,Robert,carl44@example.org,**** **** **** 3181,441.48,Pending
589e5fde-4183-4d02-bc8b-b5eead1f19c1,Zachary,staffordkim@example.net,**** **** **** 2426,198.81,Declined
a6330c8e-1459-45b5-ba34-bafc659f9179,Alexa,christopheravila@example.net,**** **** **** 7561,58.61,Declined
51b07168-207a-4783-822b-52c2c30be712,Robert,gonzalezsandra@example.net,**** **** **** 3777,92.28,Pending
05bbf76e-721c-4c3e-bf52-33de8faee8cf,Kelly,djackson@example.net,**** **** **** 8905,492.05,Approved
0c9dea62-a120-4320-bb85-8f9edec7849a,Benjamin,fmarshall@example.org,**** **** **** 3695,51.87,Approved
6ea85793-0bb7-4acb-a047-2a9e8bfbe1a5,Jonathon,whitney59@example.net,**** **** **** 6458,275.08,Declined
934fb3fb-d5db-495d-aa6c-405b8405c314,Heather,joshua08@example.net,**** **** **** 4257,169.75,Declined
ca98b549-fbe3-4ab1-bcc9-d622a40b687f,Shelby,coxbarbara@example.net,**** **** **** 3223,489.99,Approved
d94ec976-f5c6-44f4-8e06-b57c7999675a,Teresa,glawson@example.org,**** **** **** 2069,278.89,Approved
ea0ac39c-badb-4c83-8090-a35582a98037,Elizabeth,stephen51@example.com,**** **** **** 7815,389.68,Pending
85b1ac84-95b6-47e4-ae79-a47da9aff457,Jessica,lstokes@example.org,**** **** **** 6762,164.05,Pending
2d3c8094-b507-4d0c-9687-e060388b9a8c,Julie,woodsjennifer@example.com,**** **** **** 5759,379.86,Pending
63a255d5-cd0e-48f2-91be-484ee3294af4,Elizabeth,jcook@example.org,**** **** **** 9593,126.13,Declined
d6bf1aac-bc85-4365-8e20-bea0aac8c8b9,Madison,rachelhernandez@example.com,**** **** **** 7899,108.26,Declined
